# KPS9566.TXT
0x8447	0xB293	# 늓
0x8448	0xB295	# 늕
0x8449	0xB296	# 늖
0x844A	0xB297	# 늗
0x844B	0xB29B	# 늛
0x844C	0xB29C	# 늜
0x844D	0xB29D	# 늝
0x844E	0xB29E	# 늞
0x844F	0xB29F	# 늟
0x8450	0xB2A2	# 늢
0x8451	0xB2A7	# 늧
0x8452	0xB2A8	# 늨
0x8453	0xB2A9	# 늩
0x8454	0xB2AB	# 늫
0x8455	0xB292	# 늒
0x8456	0xB2A4	# 늤
0x8457	0xB2CB	# 닋
0x8458	0xB2CD	# 닍
0x8459	0xB2CE	# 닎
0x845A	0xB2CF	# 닏
0x8461	0xB2D1	# 닑
0x8462	0xB2D3	# 닓
0x8463	0xB2D4	# 닔
0x8464	0xB2D5	# 닕
0x8465	0xB2D6	# 닖
0x8466	0xB2D7	# 닗
0x8467	0xB2DA	# 닚
0x8468	0xB2DE	# 닞
0x8469	0xB2DF	# 닟
0x846A	0xB2E0	# 닠
0x846B	0xB2E1	# 닡
0x846C	0xB2E3	# 닣
0x846D	0xB2CA	# 닊
0x846E	0xB2DC	# 닜
0x846F	0xB0B7	# 낷
0x8470	0xB0B9	# 낹
0x8471	0xB0BA	# 낺
0x8472	0xB0BB	# 낻
0x8473	0xB0BD	# 낽
0x8474	0xB0BE	# 낾
0x8475	0xB0BF	# 낿
0x8476	0xB0C0	# 냀
0x8477	0xB0C1	# 냁
0x8478	0xB0C2	# 냂
0x8479	0xB0C3	# 냃
0x847A	0xB0C6	# 냆
0x8481	0xB0CA	# 냊
0x8482	0xB0CB	# 냋
0x8483	0xB0CC	# 냌
0x8484	0xB0CD	# 냍
0x8485	0xB0CE	# 냎
0x8486	0xB0CF	# 냏
0x8487	0xB0B6	# 낶
0x8488	0xB0ED	# 냭
0x8489	0xB0EF	# 냯
0x848A	0xB0F0	# 냰
0x848B	0xB0F1	# 냱
0x848C	0xB0F2	# 냲
0x848D	0xB0F3	# 냳
0x848E	0xB0F4	# 냴
0x848F	0xB0F5	# 냵
0x8490	0xB0F6	# 냶
0x8491	0xB0F7	# 냷
0x8492	0xB0F8	# 냸
0x8493	0xB0F9	# 냹
0x8494	0xB0FA	# 냺
0x8495	0xB0FB	# 냻
0x8496	0xB0FC	# 냼
0x8497	0xB0FD	# 냽
0x8498	0xB0FE	# 냾
0x8499	0xB0FF	# 냿
0x849A	0xB101	# 넁
0x849B	0xB102	# 넂
0x849C	0xB103	# 넃
0x849D	0xB104	# 넄
0x849E	0xB105	# 넅
0x849F	0xB106	# 넆
0x84A0	0xB107	# 넇
0x84A1	0xB0EE	# 냮
0x84A2	0xB100	# 넀
0x84A3	0xB127	# 넧
0x84A4	0xB129	# 넩
0x84A5	0xB12A	# 넪
0x84A6	0xB12B	# 넫
0x84A7	0xB12D	# 넭
0x84A8	0xB12E	# 넮
0x84A9	0xB12F	# 넯
0x84AA	0xB130	# 넰
0x84AB	0xB131	# 넱
0x84AC	0xB132	# 넲
0x84AD	0xB133	# 넳
0x84AE	0xB136	# 넶
0x84AF	0xB13A	# 넺
0x84B0	0xB13B	# 넻
0x84B1	0xB13C	# 넼
0x84B2	0xB13D	# 넽
0x84B3	0xB13E	# 넾
0x84B4	0xB13F	# 넿
0x84B5	0xB126	# 넦
0x84B6	0xB15D	# 녝
0x84B7	0xB15F	# 녟
0x84B8	0xB161	# 녡
0x84B9	0xB162	# 녢
0x84BA	0xB163	# 녣
0x84BB	0xB164	# 녤
0x84BC	0xB165	# 녥
0x84BD	0xB166	# 녦
0x84BE	0xB167	# 녧
0x84BF	0xB168	# 녨
0x84C0	0xB169	# 녩
0x84C1	0xB16A	# 녪
0x84C2	0xB16B	# 녫
0x84C3	0xB16C	# 녬
0x84C4	0xB16D	# 녭
0x84C5	0xB16E	# 녮
0x84C6	0xB16F	# 녯
0x84C7	0xB171	# 녱
0x84C8	0xB172	# 녲
0x84C9	0xB173	# 녳
0x84CA	0xB174	# 녴
0x84CB	0xB175	# 녵
0x84CC	0xB176	# 녶
0x84CD	0xB177	# 녷
0x84CE	0xB15E	# 녞
0x84CF	0xB170	# 녰
0x84D0	0xB1CD	# 뇍
0x84D1	0xB1CF	# 뇏
0x84D2	0xB1D1	# 뇑
0x84D3	0xB1D2	# 뇒
0x84D4	0xB1D3	# 뇓
0x84D5	0xB1D5	# 뇕
0x84D6	0xB1D6	# 뇖
0x84D7	0xB1D7	# 뇗
0x84D8	0xB1D8	# 뇘
0x84D9	0xB1D9	# 뇙
0x84DA	0xB1DA	# 뇚
0x84DB	0xB1DB	# 뇛
0x84DC	0xB1DE	# 뇞
0x84DD	0xB1E1	# 뇡
0x84DE	0xB1E2	# 뇢
0x84DF	0xB1E3	# 뇣
0x84E0	0xB1E4	# 뇤
0x84E1	0xB1E5	# 뇥
0x84E2	0xB1E6	# 뇦
0x84E3	0xB1E7	# 뇧
0x84E4	0xB1CE	# 뇎
0x84E5	0xB1E0	# 뇠
0x84E6	0xB259	# 뉙
0x84E7	0xB25B	# 뉛
0x84E8	0xB25D	# 뉝
0x84E9	0xB25E	# 뉞
0x84EA	0xB25F	# 뉟
0x84EB	0xB261	# 뉡
0x84EC	0xB262	# 뉢
0x84ED	0xB263	# 뉣
0x84EE	0xB264	# 뉤
0x84EF	0xB265	# 뉥
0x84F0	0xB266	# 뉦
0x84F1	0xB267	# 뉧
0x84F2	0xB26A	# 뉪
0x84F3	0xB26B	# 뉫
0x84F4	0xB26E	# 뉮
0x84F5	0xB26F	# 뉯
0x84F6	0xB270	# 뉰
0x84F7	0xB271	# 뉱
0x84F8	0xB272	# 뉲
0x84F9	0xB273	# 뉳
0x84FA	0xB25A	# 뉚
0x84FB	0xB26C	# 뉬
0x84FC	0xB2AD	# 늭
0x84FD	0xB2AF	# 늯
0x84FE	0xB2B1	# 늱
0x8541	0xB2B2	# 늲
0x8542	0xB2B3	# 늳
0x8543	0xB2B5	# 늵
0x8544	0xB2B6	# 늶
0x8545	0xB2B7	# 늷
0x8546	0xB2B8	# 늸
0x8547	0xB2B9	# 늹
0x8548	0xB2BA	# 늺
0x8549	0xB2BB	# 늻
0x854A	0xB2BD	# 늽
0x854B	0xB2BE	# 늾
0x854C	0xB2BF	# 늿
0x854D	0xB2C2	# 닂
0x854E	0xB2C3	# 닃
